,title,publish,view_count,like_count,day_of_week,day_name
0,The Pat McAfee Show | Wednesday August 24th 2022,2022-08-24 13:45:33+00:00,42420,2090,2,Wednesday
1,The Pat McAfee Show | Tuesday August 23rd 2022,2022-08-23 19:26:20+00:00,249983,4972,1,Tuesday
2,The Pat McAfee Show | Monday August 22nd 2022,2022-08-22 20:04:16+00:00,317445,5730,0,Monday
3,The Pat McAfee Show | Friday August 19th 2022,2022-08-19 19:11:01+00:00,280875,4550,4,Friday
4,The Pat McAfee Show | Thursday August 18th 2022,2022-08-18 19:55:45+00:00,326126,5426,3,Thursday
5,The Pat McAfee Show Live From Colts/Lions Joint Practice | Wednesday August 17th 2022,2022-08-17 19:17:32+00:00,422474,9148,2,Wednesday
6,The Pat McAfee Show | Tuesday August 16th 2022,2022-08-16 19:57:36+00:00,323849,5366,1,Tuesday
7,The Pat McAfee Show | Monday August 15th 2022,2022-08-15 19:53:43+00:00,344393,5340,0,Monday
8,The Pat McAfee Show | Friday August 12th 2022,2022-08-12 19:08:06+00:00,299458,4767,4,Friday
9,The Pat McAfee Show | Thursday August 11th 2022,2022-08-11 19:53:51+00:00,330464,5409,3,Thursday
10,The Pat McAfee Show | Wednesday August 10th 2022,2022-08-10 19:32:12+00:00,281865,5240,2,Wednesday
11,The Pat McAfee Show | Tuesday August 9th 2022,2022-08-09 19:44:51+00:00,283941,4987,1,Tuesday
12,The Pat McAfee Show | Monday August 8th 2022,2022-08-08 20:15:39+00:00,331640,5567,0,Monday
13,The Pat McAfee Show | Friday August 5th 2022,2022-08-05 19:08:57+00:00,280993,4603,4,Friday
14,The Pat McAfee Show | Thursday August 4th 2022,2022-08-04 19:56:54+00:00,306294,5860,3,Thursday
15,"The Pat McAfee Show | Wednesday August 3rd, 2022",2022-08-03 19:17:51+00:00,273821,5078,2,Wednesday
16,"The Pat McAfee Show | Tuesday August 2nd, 2022",2022-08-02 19:47:32+00:00,292518,4882,1,Tuesday
17,"The Pat McAfee Show | Monday August 1st, 2022",2022-08-01 19:45:59+00:00,339660,6121,0,Monday
18,"The Pat McAfee Show | Friday July 29th, 2022",2022-07-29 19:12:13+00:00,249824,4537,4,Friday
19,"The Pat McAfee Show | Thursday July 28th, 2022",2022-07-28 19:29:15+00:00,270266,4903,3,Thursday
20,"The Pat McAfee Show | Wednesday July 27th, 2022",2022-07-27 20:02:57+00:00,301615,4765,2,Wednesday
21,"The Pat McAfee Show | Tuesday July 26th, 2022",2022-07-26 19:49:33+00:00,289277,4972,1,Tuesday
22,"The Pat McAfee Show | Monday July 25th, 2022",2022-07-25 19:55:30+00:00,269712,4929,0,Monday
23,"The Pat McAfee Show | Friday July 22nd, 2022",2022-07-22 19:07:05+00:00,260311,4399,4,Friday
24,"The Pat McAfee Show | Thursday July 21st, 2022",2022-07-21 19:20:05+00:00,279490,4362,3,Thursday
25,"The Pat McAfee Show | Wednesday July 20th, 2022",2022-07-20 19:39:12+00:00,283297,4696,2,Wednesday
26,"The Pat McAfee Show | Tuesday July 19th, 2022",2022-07-19 19:25:50+00:00,264670,4888,1,Tuesday
27,"The Pat McAfee Show | Monday July 18th, 2022",2022-07-18 19:47:47+00:00,352720,6516,0,Monday
28,"The Pat McAfee Show | Wednesday July 6th, 2022",2022-07-06 19:17:02+00:00,376958,6412,2,Wednesday
29,"The Pat McAfee Show | Tuesday July 5th, 2022",2022-07-05 19:36:28+00:00,301129,5078,1,Tuesday
30,"The Pat McAfee Show | Thursday June 30th, 2022",2022-06-30 19:09:40+00:00,276223,4618,3,Thursday
31,"The Pat McAfee Show | Wednesday June 29th, 2022",2022-06-29 19:55:13+00:00,270560,4615,2,Wednesday
32,"The Pat McAfee Show | Tuesday June 28th, 2022",2022-06-28 19:53:38+00:00,313350,4775,1,Tuesday
33,"The Pat McAfee Show | Monday June 27th, 2022",2022-06-27 19:52:02+00:00,292493,4706,0,Monday
34,"The Pat McAfee Show | Thursday June 23rd, 2022 (Part 2)",2022-06-23 19:21:46+00:00,248245,4005,3,Thursday
35,"The Pat McAfee Show | Thursday June 23rd, 2022",2022-06-23 16:37:02+00:00,128108,2273,3,Thursday
36,"The Pat McAfee Show | Wednesday June 22nd, 2022",2022-06-22 19:24:04+00:00,250755,4243,2,Wednesday
37,"The Pat McAfee Show | Tuesday June 21st, 2022",2022-06-21 19:16:57+00:00,248453,4231,1,Tuesday
38,"The Pat McAfee Show | Monday June 20th, 2022",2022-06-20 19:28:46+00:00,263681,4581,0,Monday
39,"The Pat McAfee Show | Friday June 17th, 2022",2022-06-17 19:07:34+00:00,266775,4585,4,Friday
