,title,publish,view_count,like_count
0,The Pat McAfee Show | Wednesday August 24th 2022,2022-08-24T13:45:33Z,42420,2090
1,The Pat McAfee Show | Tuesday August 23rd 2022,2022-08-23T19:26:20Z,249983,4972
2,The Pat McAfee Show | Monday August 22nd 2022,2022-08-22T20:04:16Z,317445,5730
3,The Pat McAfee Show | Friday August 19th 2022,2022-08-19T19:11:01Z,280875,4550
4,The Pat McAfee Show | Thursday August 18th 2022,2022-08-18T19:55:45Z,326126,5426
5,The Pat McAfee Show Live From Colts/Lions Joint Practice | Wednesday August 17th 2022,2022-08-17T19:17:32Z,422474,9148
6,The Pat McAfee Show | Tuesday August 16th 2022,2022-08-16T19:57:36Z,323849,5366
7,The Pat McAfee Show | Monday August 15th 2022,2022-08-15T19:53:43Z,344393,5340
8,The Pat McAfee Show | Friday August 12th 2022,2022-08-12T19:08:06Z,299458,4767
9,The Pat McAfee Show | Thursday August 11th 2022,2022-08-11T19:53:51Z,330464,5409
10,The Pat McAfee Show | Wednesday August 10th 2022,2022-08-10T19:32:12Z,281865,5240
11,The Pat McAfee Show | Tuesday August 9th 2022,2022-08-09T19:44:51Z,283941,4987
12,The Pat McAfee Show | Monday August 8th 2022,2022-08-08T20:15:39Z,331640,5567
13,The Pat McAfee Show | Friday August 5th 2022,2022-08-05T19:08:57Z,280993,4603
14,The Pat McAfee Show | Thursday August 4th 2022,2022-08-04T19:56:54Z,306294,5860
15,"The Pat McAfee Show | Wednesday August 3rd, 2022",2022-08-03T19:17:51Z,273821,5078
16,"The Pat McAfee Show | Tuesday August 2nd, 2022",2022-08-02T19:47:32Z,292518,4882
17,"The Pat McAfee Show | Monday August 1st, 2022",2022-08-01T19:45:59Z,339660,6121
18,"The Pat McAfee Show | Friday July 29th, 2022",2022-07-29T19:12:13Z,249824,4537
19,"The Pat McAfee Show | Thursday July 28th, 2022",2022-07-28T19:29:15Z,270266,4903
20,"The Pat McAfee Show | Wednesday July 27th, 2022",2022-07-27T20:02:57Z,301615,4765
21,"The Pat McAfee Show | Tuesday July 26th, 2022",2022-07-26T19:49:33Z,289277,4972
22,"The Pat McAfee Show | Monday July 25th, 2022",2022-07-25T19:55:30Z,269712,4929
23,"The Pat McAfee Show | Friday July 22nd, 2022",2022-07-22T19:07:05Z,260311,4399
24,"The Pat McAfee Show | Thursday July 21st, 2022",2022-07-21T19:20:05Z,279490,4362
25,"The Pat McAfee Show | Wednesday July 20th, 2022",2022-07-20T19:39:12Z,283297,4696
26,"The Pat McAfee Show | Tuesday July 19th, 2022",2022-07-19T19:25:50Z,264670,4888
27,"The Pat McAfee Show | Monday July 18th, 2022",2022-07-18T19:47:47Z,352720,6516
28,"The Pat McAfee Show | Wednesday July 6th, 2022",2022-07-06T19:17:02Z,376958,6412
29,"The Pat McAfee Show | Tuesday July 5th, 2022",2022-07-05T19:36:28Z,301129,5078
30,"The Pat McAfee Show | Thursday June 30th, 2022",2022-06-30T19:09:40Z,276223,4618
